Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10u","C_0805_2012Metric",182.700000,-101.700000,90.000000,bottom
"C3","0.01u","C_0603_1608Metric",189.700000,-100.700000,0.000000,bottom
"C4","10u","C_0805_2012Metric",189.900000,-102.600000,0.000000,bottom
"C7","0.1u","C_0603_1608Metric",196.100000,-118.038000,270.000000,bottom
"C8","0.1u","C_0603_1608Metric",195.150000,-103.142000,90.000000,bottom
"C9","0.1u","C_0603_1608Metric",192.600000,-118.012000,270.000000,bottom
"C10","0.1u","C_0603_1608Metric",194.350000,-118.038000,90.000000,bottom
"C11","0.1u","C_0603_1608Metric",190.800000,-118.000000,90.000000,bottom
"R14","0","R_0603_1608Metric",189.110000,-117.940000,90.000000,bottom
"U1","LD3985M33R_SOT23","SOT-23-5",185.800000,-101.700000,0.000000,bottom
"U3","ADM232A","TSSOP-16_4.4x5mm_P0.65mm",192.420000,-111.070000,90.000000,bottom
